GEOID,area (m2)
23013,81104121.97420722
23015,17609182.890683137
23023,31577352.7433986
23031,109828428.91423263
23007,502863509.35536355
23003,2091319317.163412
23025,929896429.9445201
23027,13383664.12564351
23011,23471900.515641868
23019,567726181.9421282
23021,1131876845.4509737
23009,196111367.46435145
23005,98398994.42782654
23029,464943976.7234823
23001,6128455.558924956
23017,418238318.81391376
25001,278125344.38924736
25013,209502951.5929658
25025,20141112.307805963
25007,66497541.46341251
25017,388312164.6269698
25005,185011832.3656318
25009,261344839.6917379
25003,746807642.433472
25011,512646860.84289575
25021,165965239.52628577
25019,49126909.692905135
25023,245510921.41104355
25015,305059220.6383132
25027,787119221.8066744
26033,760266134.3997334
26053,100414928.98248744
26063,74946193.44315019
26097,658524478.3816202
26115,31948119.639993735
26041,114452809.75277133
26099,12721764.497892972
26103,1047802374.3452121
26135,891839175.6688443
26147,52214983.35783747
26163,48917576.58345124
26137,415228042.7141865
26055,302991315.74101704
26007,195078610.172321
26003,618608906.5278472
26013,369766760.82773566
26071,348896625.974398
26089,128484621.55607374
26141,319861948.2031828
26015,89917593.37563257
26159,16937748.01372737
26165,613829532.8564172
26023,1381495.0334389159
26027,20017391.22104953
26037,25548330.28179985
26051,348908159.5923526
26061,24813376.043384682
26065,33236663.101129975
26017,20100175.0164408
26131,338801.9442635863
26075,30963468.5047103
26079,651253920.0078409
26095,1159851841.809599
26133,75834607.7426214
26143,825782936.063468
26119,555995244.1791301
26149,5259154.7243925985
26153,1547238797.8767328
26155,1689057.7046522452
26125,50736677.91046645
26001,499795476.6005356
26039,958170453.8495997
26045,7274131.382774428
26019,274887853.12895316
26035,223925550.91987
26009,193977337.9935682
26011,128883605.28666277
26117,103889089.50270127
26121,102576075.25562009
26101,465984368.6552317
26077,20435028.47322067
26073,15583597.223124888
26093,26454206.00087714
26043,913014634.8220072
26057,71612781.9051375
26067,36517878.92342821
26087,36617351.82453642
26091,12479863.853998493
26005,211888821.99546266
26025,10162402.918343045
26031,798230293.7982308
26123,477748290.48454815
26105,248234227.9498827
26151,55847878.878180236
26161,52756877.38907462
26069,501403549.01850134
26021,9544995.526445089
26059,12705091.707447972
26029,212633216.91459608
26111,179166422.22711703
26047,315900459.1242928
26113,434443917.0729387
26129,380846893.89811903
26127,226712211.87969628
26145,117144322.53727539
26107,73636999.86737663
26049,11371656.284246298
26081,54836174.049053214
26085,692993772.9849676
26157,134259468.53499654
26109,69551834.39663498
26083,580226930.5066369
26139,18610445.746814307
30015,562130344.6053649
30023,489614046.6219554
30029,5793116756.880409
30039,519180791.24229187
30057,937629022.2939353
30071,2998932705.8293066
30077,1429613739.6548135
30085,12506826.506440338
30087,298201841.73406047
30105,1720115369.2191863
30001,1429976719.9686396
30013,805016926.1744624
30027,1803425293.1591249
30031,1044515079.361943
30045,1257603653.7429368
