GEOID,area
45005,297142.18558894016
45019,14412429.050701609
45025,207144855.35191965
45043,6621473.9314653445
45063,109785767.21657509
45077,218788852.27915367
45091,32838980.536245357
45027,2340028.2610879648
45047,638756.2766254967
45029,434113.19606368546
45071,15839671.724222848
45055,25466324.035170857
45059,15758837.999184364
45069,363811.6190880592
45073,175623058.6673767
45083,25241103.77742426
45089,6881469.70355596
45009,9249317.813757896
45057,5948635.435859716
45087,620429.40268301
45015,27254972.75147997
45067,243384.7151365101
45003,19722903.171877865
45007,23591297.023022093
45017,128531871.72754632
45035,796857.7662781429
45041,8153592.639911745
45045,345677966.4404109
45051,211325969.80489996
45061,23474132.451395545
45021,16720928.809754824
45065,352372.33814649866
45001,561486.6217942098
45081,7900162.191101518
45011,3541050.7624605643
45037,213744.63541941042
45053,991746.1997019057
45039,400010.41296979965
45023,421150.5918892263
45085,112674048.075582
45079,206317793.20456707
45031,5154919.6656899545
45049,141900.87237071444
45075,109190619.63605623
45013,15417901.664329676
45033,155216.70094752382
